Date,Open,High,Low,Close,Adj Close,Volume
2020-03-06,264.869995,273.760010,263.600006,272.320007,268.907684,835500
2020-03-09,258.970001,259.760010,248.619995,250.839996,247.696823,1113400
2020-03-10,257.260010,268.899994,253.240005,268.420013,265.056519,911600
2020-03-11,259.980011,262.329987,245.669998,250.410004,247.272202,644500
2020-03-12,231.979996,236.020004,214.240005,225.690002,222.861969,1942700
2020-03-13,233.250000,244.070007,223.610001,243.580002,240.527786,1253500
2020-03-16,197.570007,207.679993,197.570007,202.509995,199.972412,1741000
2020-03-17,206.559998,210.649994,195.850006,209.119995,206.499588,1878200
2020-03-18,173.570007,182.389999,163.190002,177.979996,175.749802,1914300
2020-03-19,176.229996,185.369995,160.389999,183.000000,180.706894,1430900
2020-03-20,180.169998,189.419998,167.350006,175.089996,172.896011,2573700
2020-03-23,177.220001,177.220001,154.330002,157.059998,155.091934,1642900
2020-03-24,165.820007,178.759995,165.309998,173.800003,171.622192,1375700
2020-03-25,174.220001,200.559998,168.860001,192.330002,189.919983,1677200
2020-03-26,194.360001,197.979996,182.539993,192.580002,190.166855,1731000
2020-03-27,187.440002,187.750000,180.000000,181.570007,179.294815,1005600
2020-03-30,181.899994,183.600006,175.350006,180.449997,178.188843,1073800
2020-03-31,178.490005,179.580002,171.919998,173.220001,171.049438,1613600
2020-04-01,165.440002,167.380005,160.550003,162.690002,160.651382,1114200
2020-04-02,160.250000,167.289993,158.889999,165.190002,163.120071,1437300
2020-04-03,163.259995,167.500000,162.190002,164.229996,162.172104,1007900
2020-04-06,169.000000,180.600006,168.279999,179.490005,177.240875,1343000
2020-04-07,190.779999,195.330002,185.350006,185.899994,183.570557,1611100
2020-04-08,188.479996,193.970001,185.509995,192.410004,189.998993,942900
2020-04-09,197.940002,207.149994,197.509995,198.740005,196.249664,934400
2020-04-13,198.750000,198.850006,191.460007,195.080002,192.635529,761500
2020-04-14,200.660004,203.949997,198.639999,201.699997,199.172562,845000
2020-04-15,196.759995,197.009995,186.110001,187.070007,184.725906,915200
2020-04-16,189.320007,191.130005,186.490005,190.639999,188.251160,763300
2020-04-17,198.990005,204.750000,196.610001,204.160004,201.601761,812000
2020-04-20,200.020004,202.550003,193.210007,193.910004,191.480194,775100
2020-04-21,189.850006,191.889999,187.979996,190.500000,188.112915,698400
2020-04-22,193.600006,198.800003,192.800003,197.440002,194.965958,669200
2020-04-23,198.160004,203.559998,198.160004,199.419998,196.921127,955800
2020-04-24,201.279999,202.669998,198.270004,200.179993,197.671600,760900
2020-04-27,201.679993,213.059998,200.000000,212.470001,209.807632,649500
2020-04-28,219.279999,223.199997,214.410004,218.169998,215.436203,1216400
2020-04-29,223.100006,232.100006,221.270004,230.949997,228.056046,997000
2020-04-30,228.000000,228.259995,221.009995,221.830002,219.050323,827000
2020-05-01,216.979996,218.149994,210.970001,211.809998,209.155899,806700
2020-05-04,209.300003,210.229996,206.380005,209.639999,207.013077,706800
2020-05-05,211.600006,214.889999,210.350006,210.740005,208.099304,525300
2020-05-06,212.000000,212.690002,208.149994,210.169998,207.536438,497000
2020-05-07,212.669998,216.639999,211.330002,213.399994,210.725967,401500
2020-05-08,216.050003,219.000000,214.119995,218.210007,215.475693,374900
2020-05-11,215.770004,216.759995,213.050003,214.380005,211.693695,445700
2020-05-12,215.000000,216.110001,205.710007,205.750000,203.171829,750200
2020-05-13,202.199997,203.479996,197.139999,199.470001,196.970505,1359800
2020-05-14,204.910004,229.240005,204.240005,228.710007,225.844116,2393100
2020-05-15,225.850006,230.660004,222.880005,227.419998,224.570282,1459800
2020-05-18,232.130005,239.429993,232.130005,236.429993,233.467377,999200
2020-05-19,237.410004,244.360001,236.029999,238.979996,235.985428,1054300
2020-05-20,240.600006,243.479996,238.759995,240.529999,237.516006,952500
2020-05-21,241.589996,245.720001,240.809998,242.559998,239.520569,546500
2020-05-22,241.570007,242.130005,239.679993,240.649994,237.634506,436300
2020-05-26,249.119995,254.990005,247.149994,252.729996,249.563141,854400
2020-05-27,254.949997,256.959991,247.330002,251.580002,248.427536,750300
2020-05-28,252.070007,254.639999,250.080002,251.720001,248.565796,483500
2020-05-29,251.500000,251.500000,243.089996,247.960007,244.852905,1246600
2020-06-01,248.500000,252.169998,247.110001,250.940002,247.795578,481400
2020-06-02,251.460007,255.350006,249.449997,255.000000,251.804688,877100
2020-06-03,258.910004,271.899994,256.630005,270.809998,267.416565,732700
2020-06-04,268.480011,270.730011,266.130005,269.209991,265.836639,526600
2020-06-05,276.130005,286.609985,275.950012,286.500000,282.909973,1048300
2020-06-08,289.980011,292.109985,285.350006,291.510010,287.857208,755300
2020-06-09,285.869995,286.910004,281.809998,282.910004,279.364960,612000
